ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POB20,EDU28,EDU31,P15mas.con.primaria.incompleta,P15mas.con.secundaria.completa,P15mas.con.secundaria.incompleta,P15mas.con.primaria.completa,P18mas.con.post,VIV2,VIV5_R,VIV6.complemento,VIV6,VIV14,VIV15,VIV16,VIV17,VIV19,VIV26
3,Baja California Sur,3,La Paz,24,Agua de Enmedio,11,0,0,4,5,0,2,0,4,0.92,4,0,4,0,0,4,3,0
3,Baja California Sur,3,La Paz,341,Agua de la Costa,20,1,1,3,6,0,8,2,10,0.86,10,0,10,0,1,9,10,10
5,Coahuila de Zaragoza,8,Escobedo,13,Agua de la Herradura,114,7,9,17,23,5,36,14,40,1.2,39,1,39,1,37,3,38,38
5,Coahuila de Zaragoza,11,General Cepeda,2,Agua de la Mula,97,11,2,31,21,9,23,9,37,1.07,37,0,35,2,36,1,34,31
6,Colima,6,Ixtlahuacán,3,Agua de la Virgen,105,13,18,23,18,7,26,10,41,1.14,39,2,41,0,40,1,40,35
2,Baja California,1,Ensenada,1121,Agua Dulce,13,5,5,4,1,2,1,0,3,2.89,2,1,0,3,3,0,3,0
6,Colima,10,Villa de Álvarez,2,Agua Dulce,99,0,2,28,18,3,33,12,34,1.45,24,10,33,1,29,5,31,19
7,Chiapas,9,Arriaga,509,Agua Dulce,36,5,2,9,1,1,14,8,14,1.85,13,1,14,0,0,14,8,11
7,Chiapas,57,Motozintla,303,Agua Dulce,120,20,17,36,8,4,52,3,43,1.76,31,12,42,1,0,43,40,15
7,Chiapas,2,Acala,11,Agua Dulce (Buenos Aires),30,7,8,5,2,1,8,6,8,1.74,7,1,8,0,8,0,8,7
7,Chiapas,59,Ocosingo,405,Agua Dulce Tehuacan,149,55,56,28,25,19,12,6,46,3.43,4,42,44,2,0,46,13,3
3,Baja California Sur,9,Loreto,142,Agua Escondida,13,3,3,2,3,0,3,2,6,1.06,3,3,1,5,1,5,6,1
7,Chiapas,6,Amatenango de la Frontera,122,Agua Escondida,15,2,1,11,0,0,3,0,5,2.27,2,3,5,0,1,4,4,0
7,Chiapas,12,Berriozábal,369,Agua Escondida,19,4,5,8,1,3,2,0,5,2.91,3,2,0,5,2,3,2,0
7,Chiapas,19,Comitán de Domínguez,473,Agua Escondida,8,4,4,0,1,0,3,0,4,1.27,0,4,4,0,0,4,4,0
7,Chiapas,36,La Grandeza,23,Agua Escondida,156,19,11,36,38,9,53,8,33,2.89,31,1,32,0,0,32,32,13
7,Chiapas,52,Las Margaritas,606,Agua Escondida,9,5,4,2,3,0,0,0,4,1.07,3,1,4,0,0,4,4,0
7,Chiapas,59,Ocosingo,2614,Agua Escondida,11,11,8,3,0,0,0,0,3,2,1,2,1,2,2,1,3,0
