NOM_ENT,NOM_LOC,P15.sesc,P15cpri.inc,P15cpri.com,P15csec.inc,P15csec.com,P18.c.post,VIV5_R,VIV6.complemento,VIV6,CVEGEO
Nuevo León,Las Presas,8,13,21,1,5,5,1.33,20,1,190070042
Nuevo León,Puerto Bajo,4,20,6,1,15,9,1.05,19,2,190070043
Nuevo León,Puerto Carretas,8,26,13,1,13,3,1.31,23,4,190070044
Nuevo León,Rancho Nuevo,4,21,10,3,14,3,1.29,14,6,190070045
Nuevo León,El Realito (La Parrita),12,13,15,0,22,16,1.12,34,1,190070046
Nuevo León,La Reforma,4,12,4,4,13,6,1.27,14,3,190070047
Nuevo León,El Refugio (Refugio de Texas),11,23,8,8,8,2,1.41,15,7,190070048
Nuevo León,El Rincón de Jesús,3,19,16,1,6,1,1.68,10,7,190070049
Nuevo León,Poblado el Río (El Sabinito),4,5,2,0,0,0,1.57,5,1,190070051
Nuevo León,El Rodeo,2,12,8,1,5,1,1.2,6,4,190070052
Nuevo León,El Rucio,12,33,20,2,13,1,1.38,27,7,190070053
Nuevo León,El Sacramento,5,17,15,3,10,3,1.44,17,4,190070054
Nuevo León,Salitrillo,3,13,9,2,2,0,1.66,9,1,190070055
Nuevo León,Sandia (Sandia el Grande),53,191,156,30,168,77,1.22,228,23,190070058
Nuevo León,San Isidro,11,33,33,10,31,8,1.34,42,2,190070059
Nuevo León,San Joaquín de Soto,27,61,43,9,43,6,1.23,61,5,190070060
Nuevo León,San José del Jilguero,11,18,12,0,2,0,1.1,12,5,190070061
Nuevo León,San Juan de Avilés,5,30,26,3,23,9,1.07,35,4,190070062
Nuevo León,San Juanito de Reséndiz,10,28,16,0,13,2,0.98,21,7,190070063
Nuevo León,San Juanito de Solís,6,11,12,0,3,6,1.26,14,1,190070064
Nuevo León,Puentes (San Juan y Puentes),20,59,57,10,61,22,1.06,69,6,190070065
Nuevo León,San Rafael de los Cortez (Las Cruces),5,16,9,1,5,1,1.39,9,3,190070067
Nuevo León,San Rafael del Llano,10,25,20,11,21,15,1.24,36,1,190070068
Nuevo León,Santa Cruz,1,5,1,1,2,3,2.63,2,1,190070069
Nuevo León,El Saucillo,1,12,1,0,2,0,1,1,6,190070070
Nuevo León,La Soledad (Rusia),28,93,77,15,54,30,1.07,111,11,190070073
Nuevo León,El Tejocote,5,18,6,1,1,1,0.95,12,0,190070074
Nuevo León,La Trinidad,66,110,88,29,111,16,1.11,140,25,190070076
Nuevo León,La Victoria (Los Ángeles),2,32,38,0,23,2,1.17,34,2,190070077
Nuevo León,Las Virgenes,2,10,7,0,3,1,1.21,8,1,190070078
Nuevo León,Yerbaniz,1,2,2,1,3,0,1.11,2,1,190070079
Nuevo León,San Enrique (Los Mendoza),0,3,0,1,3,0,2,3,0,190070081
Nuevo León,El Jilguero,7,6,4,0,1,0,1.13,10,0,190070084
Nuevo León,La Canoa,4,12,11,0,2,1,1.55,11,2,190070085
Nuevo León,Ojo de Agua,1,6,6,1,2,1,1.86,5,1,190070090
Nuevo León,San Antonio,3,4,4,0,1,0,1.36,0,6,190070091
Nuevo León,La Mora,1,4,3,0,0,0,0.89,4,0,190070096
Nuevo León,La Reforma,4,3,3,0,0,0,1.38,5,0,190070097
Nuevo León,Milpa Vieja (San Manuel),2,5,2,0,1,0,1.43,2,3,190070103
Nuevo León,El Coyote,11,7,6,1,8,1,1.34,11,1,190070105
Nuevo León,La Lajilla,1,5,1,0,2,0,1.4,2,2,190070114
Nuevo León,Las Joyitas,0,4,1,0,1,0,0.67,2,1,190070115
Nuevo León,Cedritos,15,10,13,1,5,0,1.44,10,2,190070118
Nuevo León,La Rosita (Los Llanitos),5,18,6,0,14,6,1.24,21,1,190070120
Nuevo León,El Mezquital,1,3,1,0,4,1,1.09,2,1,190070130
Nuevo León,El Tejón,0,4,0,1,3,2,1.21,4,0,190070137
Nuevo León,El Molino,0,2,2,1,6,1,1.9,4,0,190070138
Nuevo León,San Isidro,1,4,3,0,3,0,1.31,4,1,190070139
Nuevo León,El Olmo,1,7,1,0,5,3,1.44,3,3,190070140
Nuevo León,La Peña,1,3,2,1,1,0,1.22,3,0,190070141
Nuevo León,La Florida,2,10,12,7,16,13,1.58,19,1,190070143
Nuevo León,San Patricio,1,3,0,0,1,1,0.8,3,0,190070145
Nuevo León,El Muerto,1,1,4,0,5,1,2.5,3,0,190070146
Nuevo León,Santa Teresa,4,2,7,2,0,2,2.5,1,2,190070148
Nuevo León,La Sabanilla,7,7,3,0,1,0,2.2,4,1,190070152
Nuevo León,La Lagunita (Lagunita de los Vázquez),1,13,9,0,15,6,1.14,11,5,190070154
Nuevo León,Las Mancuernas,13,17,13,4,6,1,1.22,19,5,190070156
Nuevo León,El Monal,5,12,8,2,11,2,1.39,13,6,190070160
Nuevo León,El Cedrito,0,3,0,0,4,2,1.3,3,1,190070161
Nuevo León,Agua Fría,1,4,11,0,4,0,2.35,0,8,190070164
Nuevo León,Guadalupe Victoria,8,18,16,1,1,0,1.13,11,7,190070168
Nuevo León,Las Juanas,3,4,3,3,2,6,1.71,5,0,190070170
Nuevo León,El Jardín (Cañón de Vacas),4,6,3,2,2,0,1.65,4,2,190070173
Nuevo León,La Vieja,0,2,5,1,5,0,1.67,2,2,190070179
Nuevo León,El Calichal,4,6,0,0,0,0,0.91,4,0,190070185
Nuevo León,El Nogalar (La Pita),5,3,3,0,0,0,1.9,2,2,190070192
Nuevo León,Puerto de Anteojitos,15,14,17,4,8,1,1.41,20,4,190070200
Nuevo León,Guadalupe de los Navarro,3,9,12,6,2,1,1.35,0,14,190070206
Nuevo León,Agua Adentro,3,1,2,0,0,0,1.6,0,3,190070211
Nuevo León,Los Cuartitos,3,13,2,1,7,6,1.38,14,0,190070217
Nuevo León,La Laguna,3,3,0,0,2,2,1.33,2,1,190070221
Nuevo León,La Mesa de Alcocer,0,7,1,1,3,0,2.1,5,0,190070225
Nuevo León,La Nueva Reforma (Buenos Aires),0,1,7,1,5,4,0.96,6,0,190070226
Nuevo León,Santa Rita,4,1,1,1,4,0,0.89,5,0,190070234
Nuevo León,El Yerbaniz,0,7,4,0,8,1,1.63,5,1,190070236
Nuevo León,El Callejón de la Cueva,2,3,3,0,1,2,1.38,5,1,190070241
